PATRON,0.207,,mg/L,4.8,0.0104,0.0025,1,1,1,0.0106,0.0109,0.0099
BLANCO,0.0115,,mg/L,>100,0.0006,0.0049,1,1,1,0.0019,-0.0001,0
BLANCO REACTIVO,0,,mg/L,27.8,-0.0019,0.0025,1,1,1,-0.0022,-0.0022,-0.0013
CELDA 8,0.0015,,mg/L,>100,0.0001,0.0077,1,1,1,-0.0007,0.0007,0.0002
CANAL,-0.0011,,mg/L,>100,0,0.0062,1,1,1,-0.0001,0.0013,-0.0013
FASE 1,0.0165,,mg/L,17,0.0008,0.0059,1,1,1,0.001,0.0008,0.0007
PATRON,0.1913,,mg/L,11.7,0.0097,0.0005,1,1,1,0.0106,0.0084,0.0099
FASE 2,0.019,,mg/L,25.6,0.001,0.0058,1,1,1,0.0007,0.0012,0.0009
FASE 3,0.0215,,mg/L,22.1,0.0011,0.0065,1,1,1,0.0011,0.0013,0.0008
PATRON,0.1948,,mg/L,5.5,0.0098,0.0032,1,1,1,0.0104,0.0093,0.0098
BLANCO,-0.0031,,mg/L,>100,-0.0001,0.0044,1,1,1,-0.0006,0.0002,0
BLANCO REACTIVO,0,,mg/L,20.4,-0.0019,0.0019,1,1,1,-0.0019,-0.0023,-0.0015
VSP NORTE,0.061,,mg/L,22.5,0.0031,0.0088,1,1,1,0.0039,0.0026,0.0028
CELDA 8.1,0.0071,,mg/L,87.4,0.0004,0.0078,1,1,1,0,0.0004,0.0007
CELDA 8.2,0.046,,mg/L,17.4,0.0023,0.0084,1,1,1,0.0028,0.0021,0.0021
CELDA 8.3,0.0176,,mg/L,69.8,0.0009,0.009,1,1,1,0.0014,0.0002,0.0011
PATRON,0.2054,,mg/L,1,0.0104,0.0024,1,1,1,0.0105,0.0103,0.0104
S. RICA,0.0306,,mg/L,61.5,0.0016,0.0087,1,1,1,0.0005,0.0024,0.0017
PATRON,0.2165,,mg/L,10,0.0109,0.0031,1,1,1,0.012,0.0099,0.0109
BLANCO,-0.0011,,mg/L,>100,0,0.0037,1,1,1,0.0002,0.0004,-0.0008
BLANCO REACTIVO,0,,mg/L,35.3,-0.0011,0.0022,1,1,1,-0.0008,-0.0015,-0.0009
TRITURADORA,0.0029,,mg/L,>100,0.0002,0.0073,1,1,1,0.0009,0.0002,-0.0006
VICTORIA,-0.0067,,mg/L,>100,-0.0003,0.0075,1,1,1,-0.0008,-0.0009,0.0007
CELDA 1,0.0114,,mg/L,>100,0.0006,0.0068,1,1,1,0.0011,0.0012,-0.0005
CELDA 2,0.0236,,mg/L,85.9,0.0012,0.0082,1,1,1,0.0014,0.0021,0.0001
CELDA 3,0.0233,,mg/L,67.8,0.0012,0.0077,1,1,1,0.0016,0.0003,0.0017
CELDA 4A,0.0493,,mg/L,19.3,0.0025,0.0091,1,1,1,0.002,0.003,0.0025
CELDA 4B,0.0107,,mg/L,87.4,0.0005,0.0088,1,1,1,0.001,0,0.0007
CELDA 5A,0.0178,,mg/L,>100,0.0009,0.0076,1,1,1,0.0008,0.002,0
CELDA 5B,0.0165,,mg/L,76.9,0.0008,0.008,1,1,1,0.0014,0.0001,0.0009
PATRON,0.2028,,mg/L,12.7,0.0102,0.0026,1,1,1,0.0088,0.0106,0.0113
BLANCO,0.0048,,mg/L,>100,0.0002,0.0041,1,1,1,0.0011,-0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,>100,0.0004,0.0026,1,1,1,0.002,0.0005,-0.0014
