Analista,M A,,,,,,,,,
Fecha de inicio,07/05/2024 03:53 a. m.  GMT: 07/05/2024 09:53 a. m.,,,,,,,,,
Hoja de trabajo,SA003860_6,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Ag,,,,,,,,,
,,,,,,,,,,
Método: Ag VHAAg (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.9957,,mg/L,1.3,0.1237,0,0.1218,0.1249,0.1244
,BLANCO,-0.003,,mg/L,>100,-0.0004,-0.0011,-0.001,-0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0003,0.0002,-0.0001,-0.0003
,SA003860-001,7.4248,,mg/L,1,0.0392,0.0083,0.039,0.0389,0.0397
,SA003860-002,2.8661,,mg/L,4.4,0.0156,0.0067,0.0151,0.0152,0.0164
,SA003860-003,6.9395,,mg/L,1.3,0.0369,0.0079,0.0373,0.0364,0.0371
,SA003860-004,3.754,,mg/L,0.7,0.02,0.0075,0.0201,0.0199,0.0201
,SA003860-005,3.684,,mg/L,2.4,0.0201,0.0083,0.0204,0.0203,0.0195
,PATRON,0.9853,,mg/L,0.6,0.1225,0.0008,0.1232,0.1225,0.1217
,SA003860-006,3.5636,,mg/L,1.6,0.0193,0.0092,0.0196,0.0194,0.019
,SA003860-007,3.5281,,mg/L,2.3,0.0191,0.0093,0.0186,0.0195,0.0193
,SA003860-008,0.1393,,mg/L,71.8,0.0008,0.0035,0.0006,0.0003,0.0014
,SA003860-009,3.6105,,mg/L,1,0.0194,0.0092,0.0196,0.0193,0.0192
,SA003860-010,3.6179,,mg/L,3.1,0.0196,0.0085,0.0191,0.0194,0.0203
,PATRON,0.9871,,mg/L,1.4,0.1195,0.0011,0.121,0.1197,0.1177
,BLANCO,-0.0006,,mg/L,>100,-0.0001,0.0001,0.0001,-0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,56.9,-0.0005,-0.0006,-0.0006,-0.0008,-0.0002
,SA003860-011,12.7457,,mg/L,0.9,0.0648,0.0113,0.0643,0.0646,0.0654
,SA003860-012,5.9216,,mg/L,1.9,0.0308,0.0086,0.0313,0.0308,0.0301
,SA003860-013,7.6221,,mg/L,0.8,0.0392,0.0089,0.0388,0.0394,0.0393
,SA003860-014,3.5983,,mg/L,1.8,0.0189,0.0086,0.0187,0.0193,0.0187
,SA003860-015,-0.008,,mg/L,>100,0,0.0063,-0.0003,0.0002,-0.0001
,PATRON,0.9841,,mg/L,0.3,0.1192,0.0004,0.1191,0.1195,0.1189
,SA003860-016,5.9307,,mg/L,2.1,0.0305,0.0086,0.0309,0.0308,0.0298
,SA003860-017,-0.0235,,mg/L,>100,-0.0001,0.0001,-0.0004,-0.0004,0.0004
,SA003860-018,8.302,,mg/L,1.4,0.0424,0.0068,0.0424,0.0417,0.0429
,SA003860-019,35.3572,,mg/L,0.4,0.1693,0.0087,0.1699,0.1695,0.1684
,SA003860-020,6.5403,,mg/L,2.1,0.0337,0.0049,0.0336,0.0331,0.0345
,PATRON,0.9928,,mg/L,0.9,0.1201,0.0007,0.1189,0.1208,0.1207
,BLANCO,0.0001,,mg/L,>100,0,0,-0.0002,0.0003,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.001,-0.0007,0.0001,0
,SA003860-021,2.6573,,mg/L,2.3,0.014,0.007,0.0136,0.014,0.0142
,SA003860-022,2.63,,mg/L,5.3,0.0139,0.0079,0.0147,0.0134,0.0136
,SA003860-023,6.8175,,mg/L,2,0.0351,0.0088,0.0346,0.0359,0.0348
,SA003860-024,2.1353,,mg/L,4.4,0.0113,0.0079,0.0113,0.0109,0.0119
,SA003860-025,3.641,,mg/L,4.1,0.0193,0.0071,0.0184,0.02,0.0194
,PATRON,0.9915,,mg/L,0.7,0.1181,0.0011,0.1191,0.1178,0.1175
,SA003860-026,2.4439,,mg/L,3.7,0.0126,0.0087,0.0129,0.012,0.0127
,SA003860-027,3.8583,,mg/L,1.8,0.0199,0.0078,0.0195,0.0202,0.0199
,SA003860-028,3.7354,,mg/L,0.9,0.0194,0.0079,0.0193,0.0196,0.0193
,SA003860-029,1.7896,,mg/L,3.9,0.0094,0.0089,0.0097,0.009,0.0093
,SA003860-030,3.2059,,mg/L,2.5,0.0165,0.0088,0.017,0.0162,0.0164
,PATRON,0.9838,,mg/L,0.4,0.1172,0.0011,0.1169,0.117,0.1178
,BLANCO,0.002,,mg/L,>100,0.0003,0.0001,0.0009,0,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.001,-0.0006,0,0
,SA003860-031,5.5977,,mg/L,0.7,0.0289,0.004,0.0287,0.029,0.029
,PATRON,0.9829,,mg/L,0.7,0.1149,0.0008,0.1159,0.1145,0.1143
,BLANCO,-0.0045,,mg/L,73.1,-0.0006,-0.0001,-0.0006,-0.0001,-0.001
,BLANCO REACTIVO,0,,mg/L,19.5,-0.0007,-0.0006,-0.0008,-0.0005,-0.0007
